street_name,latitude,longitude
"UNIVERSITY AVENUE, SAN DEIGO",32.7511595,-117.1084012
"EL CAJON BOULEVARD, SAN DEIGO",32.7570993,-117.0846961
"FRIARS ROAD, SAN DEIGO",32.7747497,-117.1538667
"MIRA MESA BOULEVARD, SAN DEIGO",32.909373,-117.1602998
"GARNET AVENUE, SAN DEIGO",32.801394,-117.2335118
"GENESEE AVENUE, SAN DEIGO",32.8406331,-117.1970729
"BALBOA AVENUE, SAN DEIGO",32.8214003,-117.1641589
"CLAIREMONT MESA BOULEVARD, SAN DEIGO",32.8328837,-117.1465924
"EUCLID AVENUE, SAN DEIGO",32.7335973,-117.0879964
"IMPERIAL AVENUE, SAN DEIGO",32.7041762,-117.0988461
"MARKET STREET, SAN DEIGO",32.7117453,-117.1192217
"COLLEGE AVENUE, SAN DEIGO",32.7655983,-117.0668028
"MIRAMAR ROAD, SAN DEIGO",32.8823075,-117.1556556
"FAIRMOUNT AVENUE, SAN DEIGO",32.7570959,-117.1018655
"MISSION BOULEVARD, SAN DEIGO",32.7844544,-117.2528639
"CARMEL MTN ROAD, SAN DEIGO",32.9630893,-117.1307777
"PALM AVENUE, SAN DEIGO",32.5837524,-117.0600074
"SUNSET CLIFFS BOULEVARD, SAN DEIGO",32.7451609,-117.2472265
"ROSECRANS STREET, SAN DEIGO",32.7263225,-117.227755
"LINDA VISTA ROAD, SAN DEIGO",32.786471,-117.1703762
"30TH STREET, SAN DEIGO",32.7347209,-117.1293344
"BLACK MTN ROAD, SAN DEIGO",32.9390205,-117.1284305
"05TH AVENUE, SAN DEIGO",32.7313918,-117.1602848
"06TH AVENUE, SAN DEIGO",32.712074,-117.158949
"BROADWAY  , SAN DEIGO",32.7158006,-117.14316
"INGRAHAM STREET, SAN DEIGO",32.7827648,-117.2366369
"54TH STREET, SAN DEIGO",32.7475041,-117.0795356
"GRAND AVENUE, SAN DEIGO",32.7989261,-117.2352598
"LA JOLLA VILLAGE DRIVE, SAN DEIGO",32.8717938,-117.2177712
"47TH STREET, SAN DEIGO",32.7156632,-117.093584
"WASHINGTON STREET, SAN DEIGO",32.7503682,-117.1556464
"MONTEZUMA ROAD, SAN DEIGO",32.7707732,-117.0769362
"SPORTS ARENA BOULEVARD, SAN DEIGO",32.7533935,-117.2105087
"G STREET, SAN DEIGO",32.7126416,-117.1449255
"TORREY PINES ROAD, SAN DEIGO",32.8505015,-117.2550034
"04TH AVENUE, SAN DEIGO",32.7548564,-117.1616766
"CONVOY STREET, SAN DEIGO",32.8271444,-117.1540176
"ORANGE AVENUE, SAN DEIGO",32.7531809,-117.1010695
"MORENA BOULEVARD, SAN DEIGO",32.7942808,-117.2072706
"WEST POINT LOMA BOULEVARD, SAN DEIGO",32.7519772,-117.2345834
"CLAIREMONT DRIVE, SAN DEIGO",32.8108193,-117.2009254
"PACIFIC HIGHWAY, SAN DEIGO",32.7418916,-117.1880823
"CAM DEL RIO NORTH  , SAN DEIGO",32.773866,-117.1312841
"HOME AVENUE, SAN DEIGO",32.7245411,-117.1051462
"LOGAN AVENUE, SAN DEIGO",32.6970864,-117.1135451
"ADAMS AVENUE, SAN DEIGO",32.7633799,-117.1236636
"MIDWAY DRIVE, SAN DEIGO",32.7503917,-117.2089341
"MISSION GORGE ROAD, SAN DEIGO",32.8173668,-117.0534036
"CARMEL VALLEY ROAD, SAN DEIGO",32.9721969,-117.1513028
"CORONADO AVENUE, SAN DEIGO",32.7373174,-117.2460431
"PARK BOULEVARD, SAN DEIGO",32.7325121,-117.1461424
"BERNARDO CENTER DRIVE, SAN DEIGO",33.0109645,-117.0855235
"SAN YSIDRO BOULEVARD, SAN DEIGO",32.557066,-117.0580389
"MISSION BAY DRIVE, SAN DEIGO",32.8008291,-117.2141037
"CAM RUIZ  , SAN DEIGO",32.9138604,-117.1438019
"WEST MISSION BAY DRIVE, SAN DEIGO",32.7644933,-117.2348852
"01ST AVENUE, SAN DEIGO",32.722346,-117.1634918
"NATIONAL AVENUE, SAN DEIGO",32.6959738,-117.1274587
"OCEAN VIEW BOULEVARD, SAN DEIGO",32.7012733,-117.1126985
"DEL MAR HEIGHTS ROAD, SAN DEIGO",32.9562322,-117.2266166
"32ND STREET, SAN DEIGO",32.734557,-117.1250616
"KEARNY VILLA ROAD, SAN DEIGO",32.84487319999999,-117.1270973
"F STREET, SAN DEIGO",32.7137207,-117.1413362
"43RD STREET, SAN DEIGO",32.7487613,-117.1020379
"RANCHO BERNARDO ROAD, SAN DEIGO",33.0244475,-117.0860445
"MAIN STREET, SAN DEIGO",32.6928185,-117.1299573
"AERO DRIVE, SAN DEIGO",32.8098412,-117.1294501
"ASH STREET, SAN DEIGO",32.7199041,-117.1593048
"CAM DEL RIO SOUTH  , SAN DEIGO",32.7713532,-117.1295335
"SEA WORLD DRIVE, SAN DEIGO",32.7611102,-117.2200109
"MISSION CENTER ROAD, SAN DEIGO",32.7756139,-117.1540524
"EL CAMINO REAL  , SAN DEIGO",32.7308829,-117.1546501
"PARADISE VALLEY ROAD, SAN DEIGO",32.6905972,-117.0429154
"28TH STREET, SAN DEIGO",32.7267341,-117.1338386
"NIMITZ BOULEVARD, SAN DEIGO",32.73960539999999,-117.2315293
"16TH STREET, SAN DEIGO",32.7121738,-117.1494605
"POMERADO ROAD, SAN DEIGO",32.9736692,-117.0625193
"VILLA LA JOLLA DRIVE, SAN DEIGO",32.8697501,-117.233771
"10TH AVENUE, SAN DEIGO",32.7151918,-117.1555991
"MURPHY CANYON ROAD, SAN DEIGO",32.8139647,-117.116019
"NAVAJO ROAD, SAN DEIGO",32.8032973,-117.033801
"FEDERAL BOULEVARD, SAN DEIGO",32.7214531,-117.0954039
"VOLTAIRE STREET, SAN DEIGO",32.7441429,-117.2350978
"A STREET, SAN DEIGO",32.715738,-117.1610838
"CAM DE LA PLAZA  , SAN DEIGO",32.9922913,-117.1641679
"RUFFIN ROAD, SAN DEIGO",32.8242047,-117.1274958
"MEADE AVENUE, SAN DEIGO",32.7572952,-117.1277095
"MONROE AVENUE, SAN DEIGO",32.7590267,-117.1165387
"HARBOR DRIVE, SAN DEIGO",32.7093836,-117.1628654
"KETTNER BOULEVARD, SAN DEIGO",32.7270983,-117.1707063
"BEYER BOULEVARD, SAN DEIGO",32.5708441,-117.0645134
"MESA COLLEGE DRIVE, SAN DEIGO",32.801243,-117.159341
"INDIA STREET, SAN DEIGO",32.7293253,-117.1707282
"B STREET, SAN DEIGO",32.7179245,-117.1355202
"REGENTS ROAD, SAN DEIGO",32.8552341,-117.2176154
"CAM DE LA REINA  , SAN DEIGO",32.7681203,-117.1537622
"LA JOLLA BOULEVARD, SAN DEIGO",32.8215207,-117.2743268
"WESTVIEW PARKWAY, SAN DEIGO",32.9242047,-117.1192315
"SCRIPPS POWAY PARKWAY, SAN DEIGO",32.9388038,-117.1049449
"SATURN BOULEVARD, SAN DEIGO",32.5715522,-117.0927764
"RANCHO PENASQUITOS BOULEVARD, SAN DEIGO",32.9541595,-117.1087481
"NORTH TORREY PINES ROAD, SAN DEIGO",32.9055808,-117.2435997
"WEST BERNARDO DRIVE, SAN DEIGO",33.0323653,-117.0810413
"SKYLINE DRIVE, SAN DEIGO",32.7027459,-117.0474929
"TEXAS STREET, SAN DEIGO",32.755521,-117.1388501
"11TH AVENUE, SAN DEIGO",32.7152044,-117.1547046
"VIA DE LA VALLE  , SAN DEIGO",32.9809511,-117.2373332
"25TH STREET, SAN DEIGO",32.7124148,-117.1402597
"NOBEL DRIVE, SAN DEIGO",32.867186,-117.2121012
"03RD AVENUE, SAN DEIGO",32.7109872,-117.1621848
"FRONT STREET, SAN DEIGO",32.7324099,-117.1648615
"WIGHTMAN STREET, SAN DEIGO",32.7477532,-117.0999832
"35TH STREET, SAN DEIGO",32.7592833,-117.1179504
"POWAY ROAD, SAN DEIGO",32.946585,-117.0917802
"ISLAND AVENUE, SAN DEIGO",32.7105282,-117.1402381
"ROBINSON AVENUE, SAN DEIGO",32.746404,-117.1552801
"CAM DEL SUR  , SAN DEIGO",32.9772032,-117.1472087
"SAN PASQUAL VALLEY ROAD, SAN DEIGO",33.0927452,-116.9657453
"GRAPE STREET, SAN DEIGO",32.7265558,-117.1338358
"POLK AVENUE, SAN DEIGO",32.7515565,-117.1161893
"C STREET, SAN DEIGO",32.7168412,-117.1431665
"36TH STREET, SAN DEIGO",32.7532835,-117.1155332
"CAM DEL NORTE  , SAN DEIGO",33.0046055,-117.0920443
"LAUREL STREET, SAN DEIGO",32.7314329,-117.0885627
"WOODMAN STREET, SAN DEIGO",32.7071047,-117.0549205
"33RD STREET, SAN DEIGO",32.7350137,-117.1231116
"RIO SAN DIEGO DRIVE, SAN DEIGO",32.776123,-117.1383141
"17TH STREET, SAN DEIGO",32.71444020000001,-117.1484985
"HOLLISTER STREET, SAN DEIGO",32.5691699,-117.0840422
"COLLWOOD BOULEVARD, SAN DEIGO",32.7645434,-117.0834453
"CAM DEL RIO WEST  , SAN DEIGO",32.7579123,-117.2041145
"DIVISION STREET, SAN DEIGO",32.6895362,-117.08511
"BACON STREET, SAN DEIGO",32.7502182,-117.2481665
"07TH AVENUE, SAN DEIGO",32.7451424,-117.1583824
"TAYLOR STREET, SAN DEIGO",32.7601584,-117.1929259
"SANTO ROAD, SAN DEIGO",32.8212353,-117.1039542
"EAST MISSION BAY DRIVE, SAN DEIGO",32.7787436,-117.2096612
"50TH STREET, SAN DEIGO",32.7549152,-117.0868589
"PACIFIC BEACH DRIVE, SAN DEIGO",32.7938047,-117.2397877
